large_family,lives_in_city,traveltime,studytime,failures,paid,activities,internet,romantic,famrel,freetime,goout,absences,final_grade
1,1,1,2,0,1,1,1,0,3,4,3,10,8
1,1,1,2,0,1,1,1,1,4,2,3,2,12
1,1,1,2,0,0,1,1,1,4,3,4,12,11
1,1,1,1,0,1,1,1,1,3,3,3,2,11
0,1,1,2,0,1,1,1,1,4,2,3,0,15
1,0,1,2,0,0,0,0,0,3,1,3,4,10
1,1,2,2,0,1,1,1,0,4,4,4,12,8
1,0,1,1,0,0,1,1,0,4,3,2,8,10
1,1,2,1,0,0,0,1,0,5,3,3,0,14
1,1,1,1,0,0,0,1,0,5,2,3,4,16
0,0,3,1,0,1,1,1,0,3,3,4,8,10
0,1,1,2,0,1,0,1,1,5,3,5,13,13
1,1,1,2,1,1,1,1,0,4,4,4,15,8
0,1,1,2,1,1,0,1,0,3,2,4,13,8
1,1,2,2,0,1,0,1,0,3,3,3,0,13
0,1,1,2,0,1,0,1,0,5,3,3,2,12
0,1,4,2,0,1,1,1,1,4,3,2,14,9
1,0,2,2,0,1,1,1,0,4,5,2,4,11
1,1,1,2,0,0,1,1,1,4,5,5,14,9
1,1,1,2,0,1,1,1,0,4,2,4,2,13
0,1,2,2,0,1,0,1,0,3,4,2,18,6
1,1,2,3,0,0,1,1,1,5,3,3,10,10
0,1,1,2,0,1,1,1,1,4,4,2,4,13
1,1,1,2,1,0,0,1,0,5,5,4,0,0
0,1,2,2,0,0,1,1,1,2,5,5,14,12
0,0,2,2,0,1,0,1,0,3,3,3,2,12
0,1,1,1,0,0,1,1,0,5,4,5,0,0
1,1,1,1,0,0,1,1,0,5,3,2,0,12
1,1,3,1,0,0,0,1,0,4,3,3,6,18
1,1,2,1,0,0,0,1,0,5,2,2,4,13
1,1,1,1,3,0,0,1,1,5,4,5,16,8
0,0,1,2,1,0,0,1,1,4,3,3,8,5
1,1,1,1,0,1,0,1,0,4,3,2,0,15
1,1,2,1,1,0,0,1,0,4,4,5,0,8
1,1,3,2,0,0,0,1,0,5,3,3,6,10
1,1,1,1,1,0,0,1,0,3,2,5,4,8
1,0,2,1,0,0,1,0,0,3,3,2,0,8
1,0,1,1,0,0,0,1,0,4,4,2,0,12
0,1,2,1,1,0,1,1,0,4,4,4,2,8
0,1,1,2,0,0,0,1,0,4,3,1,12,11
1,1,1,2,0,0,1,1,0,5,2,4,8,14
1,1,1,2,0,1,0,1,0,4,3,2,2,8
1,0,1,3,0,0,1,0,0,5,3,2,1,12
0,0,2,2,0,1,1,1,0,4,2,5,13,17
1,1,1,2,0,1,1,1,1,5,4,4,2,10
1,1,1,2,0,1,1,1,1,5,4,5,10,10
1,0,1,2,0,1,1,0,1,3,5,2,2,14
1,1,2,1,0,1,1,1,0,3,2,4,22,9
0,1,2,1,0,1,1,1,0,4,2,3,8,10
0,1,2,1,0,1,1,1,1,4,5,4,30,8
0,1,1,1,1,0,0,1,0,4,4,4,19,10
1,1,1,2,0,1,0,1,0,4,3,3,2,11
1,1,1,3,0,1,1,1,0,4,2,4,6,14
0,1,1,2,0,1,1,1,0,5,4,3,9,15
1,1,1,2,0,1,1,1,1,4,3,2,11,11
0,0,2,3,0,1,1,1,0,5,4,2,8,14
1,1,1,1,0,1,0,1,0,4,4,3,4,11
0,1,1,1,0,1,0,1,1,1,4,2,5,16
0,1,2,1,0,1,0,1,0,4,1,1,0,10
1,1,1,2,1,0,1,1,1,4,4,4,20,13
1,1,1,1,0,0,1,0,0,5,5,3,0,18
1,1,2,1,1,1,0,1,1,4,3,4,38,8
1,0,1,2,1,0,1,0,1,4,5,3,0,12
1,1,1,2,1,0,0,1,0,4,5,2,3,11
1,1,1,3,0,0,1,1,0,4,3,3,3,11
1,1,1,1,0,0,1,1,0,4,3,5,3,16
1,0,4,1,0,0,0,1,0,4,4,5,8,10
0,1,1,4,0,0,1,1,0,4,5,5,2,8
1,1,1,2,1,0,1,1,0,4,3,3,0,0
0,1,1,2,0,0,1,1,1,4,3,3,11,15
1,0,1,3,0,0,0,1,1,5,3,2,9,16
1,1,1,3,0,1,0,1,1,5,4,5,0,9
1,0,2,1,1,0,0,1,0,2,5,5,10,13
1,0,3,2,3,0,0,1,0,5,4,4,8,8
1,1,2,2,0,1,0,1,0,4,5,4,2,13
0,1,1,1,1,0,0,1,1,4,3,3,7,8
1,0,3,1,1,0,0,1,0,4,4,4,4,8
1,0,2,2,0,1,1,1,1,4,5,5,4,11
0,1,2,1,0,0,0,1,1,3,3,2,4,10
0,0,2,2,1,0,1,0,0,4,4,3,2,12
1,0,2,2,0,1,0,0,0,3,3,4,4,10
0,1,2,3,0,1,0,1,1,4,2,2,0,13
0,0,3,1,0,1,1,1,1,4,3,3,3,12
1,1,1,2,0,1,1,1,0,3,2,4,4,14
1,0,2,1,0,0,1,1,1,4,4,3,5,7
1,1,2,2,0,0,1,1,0,4,4,3,2,10
1,0,2,1,1,0,0,0,0,4,3,2,0,0
1,0,2,1,1,1,0,0,0,5,4,3,14,5
0,1,1,2,2,1,0,0,0,5,5,4,11,9
0,1,2,1,0,0,0,1,0,2,4,5,3,16
1,0,1,1,3,0,0,0,0,5,5,3,3,7
0,0,3,1,0,0,0,1,0,4,4,1,0,10
0,1,1,1,0,0,0,1,0,3,2,3,5,9
